label;pageranks;modularity_class;betweenesscentrality
Matemática Discreta;0.0317473282738764;2;9.200000000000001
Cálculo Diferencial e Integral I;0.013798996837999086;1;0.8333333333333333
Sistemas de Informação I;0.03418414915528791;0;11.0
Compiladores;0.035103788634947494;4;2.392857142857143
Estrutura de Dados e Algoritmos;0.0468964064182555;2;8.149999999999999
Álgebra Linear I;0.035334372717159335;1;0.0
Programação I;0.02424747417489123;2;0.0
Lab. de Estrutura de Dados e Algoritmos;0.05719690094518696;2;19.709523809523812
Teoria da Computação;0.028003469715451174;0;0.0
Programação II;0.05158043021689173;2;39.05
Introdução à Computação;0.03613435476787538;2;17.833333333333336
Probabilidade e Estatistica;0.014663669992656357;0;0.2
Lógica Matemática;0.06891957023816153;4;42.85952380952381
Sistemas de Informação II;0.02793677937277542;3;1.1428571428571428
Banco de Dados I;0.03488720414476577;4;0.0
Inteligência Artificial I;0.02311995902818882;4;0.8333333333333333
Análise e Técnica de Algoritmos;0.01489060706258898;4;0.0
Paradigmas de Ling. de Programação;0.027366009481674645;4;10.392857142857142
Métodos Estatisticos;0.01927332591414304;4;0.0
Redes de Computadores;0.02890319964780584;3;6.233333333333333
Cálculo Diferencial e Integral II;0.011319939876719191;1;0.0
Teoria dos Grafos;0.027074314284107052;2;0.0
Laboratório de Programação II;0.026715274476872667;2;0.5
Sistemas Operacionais;0.04769776320005432;3;0.0
Banco de Dados II;0.0178039891279966;3;0.14285714285714285
Lab. de Intercon. de Redes de Computadores;0.021100130621266814;3;0.0
Interconexão de Redes de Computadores;0.021150238623732345;3;0.0
Org. e Arquitetura de Computadores I;0.05715713644043544;3;27.359523809523807
Álgebra Vetorial e Geometria Analítica;0.018639426678916656;1;2.0
Laboratório de Programação I;0.0281924015322454;2;1.1666666666666665
Lab. de Org. e Arquitetura de Computadores;0.008355355787131147;3;0.0
Projeto em Computação II;0.03030303120613098;5;0.0
Projeto em Computação I;0.03030303120613098;5;0.0
